U8 pankstr nach hermann ganz hinten,2024-02-09 10:33:12
,2024-02-09 10:32:50
Drei in U9 Friedrich Wilhelm Platz richtung Osloer Strasse,2024-02-09 10:32:38
"Friedrichsfelde ost gerade, s bahn",2024-02-09 10:27:37
Tram 21 Bernhard Bästlein Straße 3 idiots,2024-02-09 10:17:47
Höhe Seestraße,2024-02-09 10:17:12
U6 Richtung Kurt schumacher Platz 3 mal mit blauen westen,2024-02-09 10:17:05
*1x männlich 1x weiblich,2024-02-09 10:16:15
2 männliche kontrolleure in dunkelblauen westen. u6 seestrasse richtung kurt-schumacher-pl,2024-02-09 10:14:58
Going to Krume lanke,2024-02-09 09:33:37
Ich bräuchte Tagesticket für heute. Abgestempelt vor 10.00 Uhr.,2024-02-09 09:26:16
Blaue Weste,2024-02-09 09:33:52
Jetz,2024-02-09 09:32:43
Any updates on them?,2024-02-09 09:22:20
Jetzt am Leo. U6 3x Blauwesten Ri. Süden,2024-02-09 09:28:59
,2024-02-09 09:32:59
"U7 Fehrberliner Platz Richtung Rudow sind jede Menge (5) BVG'ler eingestiegen. Orangene Westen. Kontrolliere nicht, oder noch nicht. Nur dass Ihr es wisst. Ich persönlich würde ohne Ticket ein Bogen um die machen...",2024-02-09 09:55:55
"2 Ladies U8 to Hermannstraße, drop off at shonleinstrabe",2024-02-09 09:07:52
U8 Gesundbrunnen. Mind. 2 Personen,2024-02-09 09:49:26
,2024-02-09 09:33:15
Or anyone paying for 9-euro-fonds? 😢 mine just expired,2024-02-09 09:28:38
"u6 seestr. 
3 men in blue vests",2024-02-09 09:22:34
U8 gesundi- pankstrasse  4 mänl. Nur 2 Mit Weste. Weitere mit yankiescap und strickmütze,2024-02-09 09:55:08
4 blue belt,2024-02-09 09:33:06
"Jetzt u6 wedding Richtung Friedrich Straße, gut erkennbar an blauen westen",2024-02-09 08:19:49
Cops&bvg am ubahn Gleis janowitzbrücke,2024-02-09 08:55:08
"U8 Richtung hermannstraße, grade Osloer los
Zwei blaue Westen",2024-02-09 08:37:17
U8 Pankstraße 2 männlich gelesene mit einmal mit blauer Weste und rot schwarz karierter Jacke. Andere Person mit schwarzer Jacke und schwarzer Basecap,2024-02-09 08:06:55
Left at Schönleinstraße,2024-02-09 08:14:29
S42 Landsberger alle Richtung Gesundbrunnen,2024-02-09 08:23:55
2x richtung Bernau grad Blankenburg,2024-02-09 08:16:56
U 6 Leopoldplatz Richtung alt Mariendorf  blaue westen,2024-02-09 08:13:55
Gesundbrunnen jetzt 4 Personen auf dem Gleis,2024-02-09 08:10:47
Blauweste U8 Schöni aufgestiegen,2024-02-09 08:37:55
"S2 Blankenburg Richtung Karow, männlich gelesen, schwarze Jacke, Bart",2024-02-09 08:38:28
U1 Görlitzer Bahnhof am Gleis Richtung Warschauer,2024-02-09 08:01:45
U8 Hermannplatz Richtung Wittenau,2024-02-09 08:11:22
Kontrollettis U8 Hermannplatz,2024-02-09 08:12:42
2 männlich gelesen,2024-02-09 08:24:00
"08:35 uhr


Originalbild gelöscht.
Bitte alle Gesichter aus den Bildern übermalen oder rausschneiden.

Es ist nicht ok einen ganzen Wagen oder Plattform zu fotografieren und hier reinzustellen.",2024-02-09 07:56:41
2 women,2024-02-09 07:45:36
They just go in to Hermannplatz,2024-02-09 07:45:21
Direction witnau,2024-02-09 07:44:59
U8 Kotti to hermannplatz direction,2024-02-09 07:44:49
Controller at gesuntbrunen u8 waiting for the ubhan,2024-02-09 07:44:46
"U6 Richtung Alt-Mariendorf, Höhe leopoldplatz, 2 Personen mit blauer Weste.",2024-02-09 07:39:53
Bahngleis rightung Wittenau,2024-02-09 07:37:15
U8 gesundbrunnen 2 blue vests,2024-02-09 07:36:31
steigen Kotti aus,2024-02-09 07:35:06
U8 schönleinstrasse —> wittenau 2 Frauen blue vests,2024-02-09 07:33:59
"u8 schönleinstraße richtung wittenau, zwei blaue westen jetzt",2024-02-09 07:33:51
Jetzt Rehberge,2024-02-09 07:32:16
"U5 Brandenburger Tor 4 Personen, BVG Jacke",2024-02-09 07:27:23
blaue westen in u6 kurt schumacher platz gleich,2024-02-09 07:07:35
s3 westkreuz to the east,2024-02-09 06:59:15
S 47 baumschulenweg Richtung spindlersfeld,2024-02-09 06:33:26
S 47 Richtung Frohnau Südkreuz,2024-02-09 06:32:16
"U8 pankstraße, steigen gerade in beide Richtungen ein",2024-02-09 06:14:56
s42 gesundbrunnen richtung greifswalder,2024-02-08 23:17:59
U8 kotti Richtung hermannstraße,2024-02-08 22:15:43
"Zwei BVG, blaue Jacken am Mehringdamm, U-Bahnhof.",2024-02-08 22:09:47
2 blau vesten gleich osloer rochtung rat steglitz,2024-02-08 19:51:39
3 m gelesen bellvue gleis,2024-02-08 19:25:56
U6 Just left at Reinickendorfer Straße,2024-02-08 18:54:51
2guys in black sbahn bellevue direction charlottenburg,2024-02-08 18:45:14
2 Hellblauejacken u8 richtung hermannstrasse eben franz neumann platz ausgestiegen,2024-02-08 18:41:51
they went down in gesunbrunnen,2024-02-08 18:40:00
Wo genau,2024-02-08 18:36:39
2 boss in u8 to wittenau,2024-02-08 18:32:33
"Was ist nur los kontrolliert niemand mehr im Osten Berlins.

Seit Monaten nix gesehen 😔",2024-02-08 18:23:35
"3 Personen, männlich gelesen, stiegen jetzt U Kochstr aus",2024-02-08 18:16:07
U6 mehringdamm richtung k schumacher eingestiegen,2024-02-08 18:13:44
3 Kontrolleure,2024-02-08 17:56:05
"Platz der Luftbrücke Richtung k. Schumacher ganz hinten, blaue vesten",2024-02-08 17:55:59
??,2024-02-08 17:34:30
Ist das zwischen innnsbrucker Platz und Sonne alle,2024-02-08 17:34:28
Savignyplatz,2024-02-08 17:11:34
,2024-02-08 17:11:11
Bullen patroullieren S-Bhf Neukölln,2024-02-08 17:10:32
"U2 , Eberswalder Str. 3x mit blauen Westen, gerade stationär",2024-02-08 16:52:17
Blauwesten,2024-02-08 16:08:30
"Good to know, thank you 🙏",2024-02-08 16:01:07
U8 Heinrich Heine nach wittenau,2024-02-08 16:48:48
Eyes open I got checked on the bus (never happened before to me),2024-02-08 16:01:32
Platz,2024-02-08 16:00:02
Richtung Hermanstr u8,2024-02-08 16:33:44
n 143,2024-02-08 16:01:48
,2024-02-08 16:53:44
in welche station eingestiegen?,2024-02-08 16:36:57
They are going in?,2024-02-08 16:49:35
Alex,2024-02-08 16:37:13
U6 alt tempelhof rchtg msriensorf 2 stück,2024-02-08 16:07:37
Danke,2024-02-08 16:00:11
Ring Bahn Safe?,2024-02-08 16:40:51
Where ?,2024-02-08 15:59:14
U8 toward written blue vest boss,2024-02-08 15:58:00
If they have your ID number they will find you...,2024-02-08 15:55:38
Hallesches Tor u1 warchauer str Richtung,2024-02-08 15:52:22
"I hope it’s ok to write here: Today I got a fine from BVG, I had my ticket but it was too recently activated and they told me I should have done it before to go on the bus. Anyway my question is: the man didn’t put my actual address in the fine but a random one, my full name is there. Do you know if there is a chance I could avoid paying since my address is not there? Usually I worry I lot about this stuff so I might just paying the fine but I wanted to check with you. Please don’t judge me, I’m unemployed and 60 euros are really a lot for me. Considering that I had my ticket. 
Thanks 🙏",2024-02-08 15:51:52
4 B.O.S Jacken Zoologischer Garten U9 Richtung Steglitz,2024-02-08 15:21:32
"Schwarze Jacken mit ,sicherheitsdienst‘ drauf stehen",2024-02-08 14:55:52
2 Personen u3 gleich Gleisi,2024-02-08 14:55:17
"Vier kontrolletis ohne Westen u7 Fehrbelliner Platz auf der Rudow Seite. Größtenteils schwarz angezogen, zwei mit mütze",2024-02-08 14:54:09
2 blau westen am Gleis,2024-02-08 14:53:56
U2 Rosa Luxembourg Platz nach Pankow,2024-02-08 14:53:26
U7 Wilmersdorfer str Richtung Rudow gerade 2 Bos ganz hinten eingestiegen,2024-02-08 14:45:43
U9 zoologischer Garten 2 Leute,2024-02-08 14:44:35
U6 Tempelhof 2 blau Westen am Gleis,2024-02-08 14:39:27
U7 jungfernheide Richtung rudow mit BOS Jacke,2024-02-08 14:34:26
"U Hansaplatz

Schreiben gerade auf dem Bahnsteig auf",2024-02-08 14:29:23
richtigun alt mariendorf eingestiegen,2024-02-08 14:01:02
Undercover controllers at Klinikum im Friedrichshain m5/m6/m8,2024-02-08 13:12:27
3 kontroleure wittenbergplatz. U1 richtung uhlandstr.,2024-02-08 13:24:30
5 mal BOS Hansaplatz auf dem Bahnsteig. Steigen gerade Richtung Rathaus Steglitz ein,2024-02-08 13:30:45
U8 jannowitzbrücke Richtung wittenau 2 blauwesten,2024-02-08 13:46:30
Blauwesten,2024-02-08 13:20:14
U7 mierendorfplatz to rathaus spandau,2024-02-08 13:00:55
3 Blauwesten U gesundbrunnen,2024-02-08 13:44:50
Albertsraße M85 route - 2 BOS,2024-02-08 13:10:47
M13 osloerstr 2 m,2024-02-08 13:05:04
3 männlich gelesen U Märkisches Museum blaue & dunkel blaue Westen steigen in die nächste Zug Richtung Pankoww,2024-02-08 13:30:15
U 6 unter den Linden auf der Seite Richtung alt Marienendorf 3 blauesten,2024-02-08 13:20:04
U8 Boddin blaue Westen an der Station,2024-02-08 13:23:29
"U6 richtung mariendorf, stadtmitte ausgestiegen",2024-02-08 13:40:41
Hopped on m6 to hackescher markt,2024-02-08 13:14:51
Andere 3 männlich gelesen sind in Spittelmarkt eingestiegen Richtung Ruhleben,2024-02-08 13:32:50
Thus is Security Ticket Control has Green Vest,2024-02-08 12:14:10
"Kontrolle im Bus 194 nach Friedrichsfelde, gerade am Ostkreuz vorbei

Update: ausgestiegen S Rummelsburg",2024-02-08 12:30:05
"4k  in Bus 187 Richtung s+U Hauptbahnhof
Sind Richard von Weizäcker Platz raus",2024-02-08 12:19:41
U8 gesundbrunnen,2024-02-08 12:11:49
"BOS u9 zoologischer Garten eingestiegen, Richtung Osloer",2024-02-08 12:32:39
Zwei kontrolleure s3 nach Spandau sind ostbahnhof eingestiegen,2024-02-08 12:21:32
U8 Weinmeisterstraße blaue weste,2024-02-08 12:46:25
U6 naturkundemuseum nach oranienstr. 2 blauwesten,2024-02-08 12:46:08
S5 Ostbahnhof 2 mens with yellow vest,2024-02-08 12:08:17
U8 bernauerstr,2024-02-08 12:03:42
S41 gleich südkreuz 3 mit grünen westen hinten im Zug,2024-02-08 12:44:39
2 F blaue weste,2024-02-08 12:34:55
Warschauer nach ostbahnhof 2 Kontrolleure,2024-02-08 12:17:09
U6 schwartzkoppfstrasse,2024-02-08 12:34:44
U8 weinmeister nacv alex,2024-02-08 12:47:54
min 2 w u bahn haltestelle schönleinstr. blaue weste,2024-02-08 11:47:47
U7 Rathaus Neukölln black hat blue coat,2024-02-08 11:44:10
Nollendorfplatz U3 3 Bos Männer,2024-02-08 11:42:05
U8 aber ist schon vorbei,2024-02-08 11:32:48
Und wo!?,2024-02-08 11:32:13
"2mg im Zug S45 Richtung Flughafen. Im Südkreuz eingestiegen, sind noch im Zug. Jetzt Tempelhof",2024-02-08 11:31:27
partnerin mit weiß/ neon orange adidas,2024-02-08 11:31:03
"nächste ist baumschulenweg, hinterer wagen",2024-02-08 11:30:26
"S25 Teltow stad 

Jetz -Alt Reinickendorf",2024-02-08 11:30:19
s85 nach buch,2024-02-08 11:30:11
,2024-02-08 11:30:03
3 BOS at Kurfürstenstr on Platform,2024-02-08 11:29:01
"S3 Richtung Spandau 2 männlich gelesene Kontrolleure, beide schwarze jacken, blaue Jeans der eine trägt ne schwarze the north fasce Mütze   jetzt Karlshorst",2024-02-08 11:25:45
"Kotti, waiting on platform towards Warschauer str
Green wests, 3-4 person 

U1/3",2024-02-08 11:21:08
Am U-Bahnhof Reinickendorfer Straße warten 3/4 mit blauen Westen,2024-02-08 10:59:16
,2024-02-08 10:46:17
"aktuell Kottbusser Tor, Bahnsteig u1/U3: 3 männlich gelesen mit blauen BOS-Westen.

Einer mit weißem Camp, ein anderer mit braunem Pulli",2024-02-08 10:46:03
Goebenstr M85,2024-02-08 10:45:33
Kontrolle mit Polizei am Alex,2024-02-08 10:45:05
Kontrolleuer in jannowiztebrücke,2024-02-08 10:37:08
S41 ostkreuz (gegen Uhrzeiger) 2 mit schwarzen pufferjacken. Eine davon sehr lang. Und cappie.,2024-02-08 10:28:11
S9 zoologischer Garten Richtung BER,2024-02-08 10:21:53
"Theodor Heus platz richtung Pankow
navy Outfit",2024-02-08 10:17:31
2 kontrollierende s9 Richtung BER Station Olympiastadion,2024-02-08 10:15:50
Machen pause oderso,2024-02-08 10:12:43
3/4Kontris mit westen am Eingang U Walter schreiber Platz,2024-02-08 10:12:37
Gruppe von ca. 5 Konties auf dem U1 Gleis am Lotto. Richtung Warschauer,2024-02-08 10:11:23
2 Kontrolleure Wannsee auf dem Gleis,2024-02-08 10:05:58
"Sind ausgestiegen, blaue Westen",2024-02-08 09:33:03
u 8 Weinmeisterstr blaue Westen,2024-02-08 09:24:40
U8,2024-02-08 09:31:17
What direction it's going ?,2024-02-08 09:53:50
warten auf den Zug Richtung Hermannstraße,2024-02-08 09:25:08
"Schönelinstrasse, auf dem platform.",2024-02-08 09:43:24
U8 gesundbrunnen several blue jackets arriving in metro,2024-02-08 09:49:59
Amrumerstrasse bahnsteig von U9,2024-02-08 09:48:16
Steigen gleich ein,2024-02-08 09:24:11
U8 Hermannplatz gelbe Westen auf dem Gl,2024-02-08 09:55:03
"2 Konties in zivil ein mal grüne Jacke, ein mal schwarz.
S Tiergarten",2024-02-08 09:49:38
"S1 richtig Oranienburg, gerade bei Frohnau",2024-02-08 09:33:57
U9 Richtung Rathaus Steglitz an der spichernstraße,2024-02-08 09:03:11
"2 BOS or more U9 to Rathaus Steglitz, U Bundesplatz on the platform",2024-02-08 09:33:55
u2 märkisches museum 3 leute mit blauer weste richtung theodor heuss platz,2024-02-08 09:20:50
Im Bahnhof Schöneberg ausgestiegen,2024-02-08 08:10:12
U6 Leopolplatz!!,2024-02-08 08:43:09
jtz richtung pankow,2024-02-08 08:24:18
"2m gelesen s42. Einer davon mit schwarzer mütze. Sind Im Zug, noch nicht ausgestiegen. Jetzt am Schoneberg bahnhof",2024-02-08 08:08:22
Blaue Westen U2 richtung  Theodor,2024-02-08 08:23:26
"Drei blaue m gelesen (vielleicht auch vier) gerade am u Eberswalder str, Gleis Richtung Pankow",2024-02-08 08:01:18
4 Alexanderplatz U8,2024-02-08 08:27:36
1 weibl gelesen plus size prenzlauer allee ring,2024-02-08 08:26:41
Turquoise pulli,2024-02-08 08:26:56
Hermannplatz  u8 Richtung  wittenau eingestiegen,2024-02-08 08:18:24
3 in blauen Westen grad im Osloerstr U8,2024-02-08 08:43:54
2 weibl. Blauwesten u Kottbusser Tor steigen gleich U8 Richtung Paracelsusbad ein,2024-02-08 08:25:30
1x BOS blaue Weste u8 schönleinstr Richtung Paracelsus Bad,2024-02-08 08:39:48
"S1 Richtung york str jetzt Schöneberg.
Zwei Männer. Mit schwarzen jacken",2024-02-08 08:18:36
About to board to hermanstrasse,2024-02-08 08:27:52
Jetzt Adlershof,2024-02-08 07:59:38
"2 k 1 Person männlich mit blauer daunenjacke,  eine weibliche mit schwarzer jacke und Tattoo im Gesicht s Johannisthal",2024-02-08 07:54:08
U8 richtung Hermannstraße 2 Frauen in blauen Westen grad Kottbusser Tor ausgestiegen,2024-02-08 07:40:08
Sind Blankenburg raus,2024-02-08 07:38:14
4 Personen mit BOS Weste Adenauerplatz,2024-02-08 07:36:59
2 kontrolettis s2 richtung  . Grade in pankow heinersdorf ganz hinten,2024-02-08 07:33:46
S7 nach Ahrensfelde Hackescher Markt,2024-02-08 07:32:43
Heinrich Heine Str. Blaue besten,2024-02-08 07:28:56
U8 rosenthaler platz 3 people in blue jackets,2024-02-08 07:26:58
U2 Alexanderplatz gerade ausgestiegen,2024-02-08 07:26:23
"S85 direction Buch, at Bornholmer str.",2024-02-08 07:13:36
S1 botanischer Garten to Wannsee,2024-02-08 06:36:59
"u8 kotti, 4 yellow jackets waiting, direction hermannstr",2024-02-07 23:03:05
"4 yellow jackets, Sudkreuz S41",2024-02-07 20:37:16
2 b.o.s dudes,2024-02-07 18:39:53
"U3 richting krumme lanke, gerade hallesches tor",2024-02-07 18:39:44
"u1 hallesches tor, headed to warschauer
2 guys BOS jackets",2024-02-07 18:24:17
u7 richtung rudow bei konstanzerstr,2024-02-07 18:06:30
Blue vests just got on U6 from oranienburger tor heading towards Kurt-Schumacher,2024-02-07 18:06:27
1 m gelesene 1 w gelesene Ps,2024-02-07 18:03:47
u5 richtung hbf 2 bos rotes rathaus ausgestiegen,2024-02-07 18:03:36
U5 Rotes Rathaus jetzt Richtung Hauptbahnhof,2024-02-07 18:03:23
"U6 direction K.-platz at least 2 guys blue Kötter vests, got out Friedrichsstraße",2024-02-07 17:54:36
Fahren u3 Richtung wahrschauer,2024-02-07 17:41:58
Spichern str 3 kontros in dunkelblauen bos westen,2024-02-07 17:40:24
U5 Schillingstraße Bahnhof,2024-02-07 17:39:36
U9 zoologischer Garten,2024-02-07 17:35:36
ja,2024-02-07 17:30:25
Aufm gleis?,2024-02-07 17:27:52
Die sind gerade am Halleschen Tor aufm U6 Gleis,2024-02-07 17:23:25
"Waren U2, jetzt Klosterstrasse zwei Blaue Vesten",2024-02-07 17:23:06
"blaue westen, sind eben in tempelhof ausgestiegen",2024-02-07 17:10:02
u6 richtung alt tegel gerade höhe tempelhof,2024-02-07 17:09:28
Pobielski ausgestiegen,2024-02-07 16:52:40
U3 dahlemdorf richtung wahrschauer 4 m gelesen mit Vesten,2024-02-07 16:52:04
S Bahn Kontrolleure am Hbf,2024-02-07 16:28:44
Sind ausgestiegen und auf dem vorderen Teil des Gleises (Richtung Zoo),2024-02-07 16:01:14
"S5 nach Olympiastadion, Kontrolle gerade Tiergarten",2024-02-07 16:01:01
Hallesches Tor u6 3 Stück erster wagong,2024-02-07 15:45:09
Controlleure in der S46  Richtung Westend. Tempelhof ausgestiegen,2024-02-07 15:00:55
"drei blaue westen u 6 richtung alt tegel 
gleich platz der luftbrücke",2024-02-07 15:02:49
vor*,2024-02-07 15:10:22
Blaue cap und schwarze Jacke,2024-02-07 15:09:00
kottbusser tor,2024-02-07 15:10:13
Hackescher Markt S3,2024-02-07 15:42:24
1 kontrolleti Hansaplatz,2024-02-07 15:09:00
Hält sich Mitte des Gleises auf und hat gerade jemanden gepackt,2024-02-07 15:09:36
blue suit light green vests,2024-02-07 15:59:26
S42 shoneberg 2 db-man’s,2024-02-07 15:58:47
sind jetzt doch wittenbergplatz ausgestiegen,2024-02-07 15:05:20
Richtung Mehringdamm,2024-02-07 15:45:19
"Aufm S Landsberger Allee stehen ein Haufen Cops in Montur, keine Kontrollen bisher",2024-02-07 15:58:35
Welche Haltstelle ?,2024-02-07 15:09:46
U8 Hermannstraße Richtung Wittenau b.o.s und cops,2024-02-07 14:43:22
"Drei Kontrolletis auf dem Bahnsteig u2 bülowstraße, steigen in die nächste ubahn Richtung ruhleben ein",2024-02-07 14:34:16
Bellevue sind 2 mit schwarzen Jacken,2024-02-07 14:02:21
"große gruppe (min 6) BOS U7 stehen fehrbelliner platz und warten auf U7 richtung spandau

fünf m gelesen und eine w gelesen mit weißem mantel",2024-02-07 14:56:15
Schillstraße ausgestiegen,2024-02-07 14:37:58
Bellevue,2024-02-07 14:37:00
,2024-02-07 14:05:37
,2024-02-07 14:05:37
bOS blissestraße u7,2024-02-07 14:28:33
Mehrere Kontrollen,2024-02-07 14:37:15
u8 richtung wittenau 3-4 kontrolettis,2024-02-07 14:51:17
Ringbahn S42 Hermanstr ausgestiegen. 1x olivgrüner Parler im Jeans und Kollege in Schwarzer Jacke. Sind S-Bahn Hermannstraße ausgestiegen,2024-02-07 14:49:22
sagen dass die mit der U7 richtung spandau durchfahren wollen,2024-02-07 14:58:58
friedrichstr s5 gleis straussberg,2024-02-07 14:50:59
Hansaplatz u9,2024-02-07 14:37:39
,2024-02-07 13:55:35
U8 Pankstrasse,2024-02-07 13:45:31
U8 blue jackets x 3,2024-02-07 13:05:11
Weinmaster am gleis,2024-02-07 13:05:24
U6 blau vesten oranienburger tor richtung alt mariendorf,2024-02-07 13:06:49
,2024-02-07 13:55:34
"Jannowitzbrücke s bahn kontrolleur:innen

Unauffällig schwarz gekleidet",2024-02-07 13:53:42
Hallesches Tor. (U6). Stay on the platform,2024-02-07 13:39:53
Blue jankets B.O.S. at Alexander Platz U5 direction Hauptbahnhof,2024-02-07 13:16:36
S3 sind Sbhf Köpenick vier kontrolleure eingestiegen  drei Frauen plus ein typ,2024-02-07 13:44:40
what direction?,2024-02-07 13:34:21
Next arriving at gesundbrunnen,2024-02-07 13:08:52
U8 Weinmeisterstr ausgestiegen,2024-02-07 13:02:22
U7 Mehringdamm Richtung Rathaus Spandau.. viele stehen auf dem Bahnstieg,2024-02-07 13:40:46
Mehringdamm raus,2024-02-07 13:33:56
Höhe nordbahnhof sry,2024-02-07 12:38:59
2 x blauwesten u 8 Alex ausgestiegen.,2024-02-07 12:29:50
"U8 Rosenthaler Platz, 3x Blue Vest, up taking a break probably",2024-02-07 12:52:53
"S42 Hohenzollerndamm, 2 Männer mit schwarzen Strickmützen. Sind nicht ausgestiegen und fahren weiter",2024-02-07 12:41:41
U6 Reinickendorfer str. Rich. Alt-Mariendorf 4/5x Männer mit blauwesten 2 auch am Gleis,2024-02-07 12:51:04
U7 Hermannplatz Richtung Rathaus Spandau große Gruppe auf dem Bahnsteig,2024-02-07 12:43:39
Kontroleurin in der u8 heinrich Heine str. Richtung wittenau.,2024-02-07 12:05:02
One or more got off at Bernauer Strasse,2024-02-07 12:59:12
Blauwesten in Weinmeisterstraße 2 Frauen,2024-02-07 12:26:05
Richtung Hermannstraße,2024-02-07 12:26:18
"They left on Bernauer str., will probably get on the next train",2024-02-07 12:08:52
"M10 Richtung Turmstraße, braune Samtjacke",2024-02-07 12:34:04
S41 Tempelhof 2 men in casual clothes,2024-02-07 12:32:07
Wo?,2024-02-07 12:38:45
2 blauwesten u bernauer Straße,2024-02-07 12:31:42
In BVG Uniform,2024-02-07 11:09:01
"Ich habe stand auf dem Bahnsteig, sie stiegen in den Zug. Blaue Westen.",2024-02-07 11:56:17
"One guy, 2 girls",2024-02-07 11:24:11
"Kontrolletti s75 nach Potsdam, gerade s Springpfuhl
Schwarze Jacke, blonde kurze haare",2024-02-07 11:02:00
U6 Richtung alt Mariendorf jetzt ullsteinstr,2024-02-07 11:08:56
"12:15 uhr, weitergeleitet:

""U3 Prinzenstrasse
Richtung Krumme Lanke""",2024-02-07 11:17:59
m5 richtung zingster straße — jetzt mollstr/otto braun str,2024-02-07 11:21:47
S bahn,2024-02-07 11:24:30
3 Blaue Western Frankfurter Tor richtung Haupbahnof,2024-02-07 11:34:40
U7,2024-02-07 11:59:15
Pigs u6 ullsteinstraße,2024-02-07 11:13:04
Welche Kleidung?,2024-02-07 11:54:11
"U6 
leopoldplatz",2024-02-07 11:28:14
Three officers at Wedding station,2024-02-07 11:24:02
U Schloßstraße Bushaltestelle M85 Richtung Lichterfelde Süd,2024-02-07 11:55:32
Gerade ein Mac book air am Alex gefunden,2024-02-07 10:56:51
Mit der s41 bis gesundbrunnen gefahren und jetzt dort auf dem Gleis,2024-02-07 10:06:39
Bullen und B.O.S. U5 magdalenenstraße.,2024-02-07 10:49:25
Blauwesten Bus Station Ostkreuz Richtung Lichtenberg,2024-02-07 10:17:23
U6 wird kontrolliert Hallesches Tor,2024-02-07 10:41:47
U9 Turmstr ausgestiegen,2024-02-07 10:50:35
S1 Nikolassee,2024-02-07 10:33:31
U2 direccion ruhleben,2024-02-07 10:47:27
"S1 Feuerbachstraße, 2 Männer und 2 Frauen, alle in schwarz- kontrollieren Richtung Wannsee.",2024-02-07 10:04:38
S 1 Richtung Frohnau steigen Wedding aus,2024-02-07 10:00:27
U2 Richtung Pankow,2024-02-07 10:00:26
Now hufeland towards hakescher,2024-02-07 10:30:13
